op name, kernel name, queue duration (ms), submit duration (ms), exec duration (ms), global size, local size, output size
node_186,kernel_repeat_f32,0.073600,3.969100,0.002700,1024x2x1,64x1x1,64x16x2x1
Kcur-3,kernel_concat_f32,0.047600,3.972300,0.002900,1024x2x1,64x1x1,192x16x2x1
cache_k_l3 (view),kernel_set_rows_f16_i64,0.346800,3.656100,0.004100,2048x1x1,1024x1x1,3072x4096x1x1
cache_v_l3 (view),kernel_set_rows_f16_i64,0.291800,3.660700,0.003200,2048x1x1,1024x1x1,2048x4096x1x1
node_198,flash_attn_blk_f16,0.230800,3.664400,0.005200,16x1x1,0x0x0,128x16x2x1
node_198,flash_attn_f32_f16,0.185800,3.670100,0.107200,16x16x0,16x1x0,128x16x2x1
node_200,kernel_transpose_32_16,0.154800,3.777900,0.005000,512x2x0,1x16x0,2048x2x1x1
node_200,kernel_gemm_noshuffle_q4_0_f32,0.138800,3.783400,0.316200,1x512x1,1x128x1,2048x2x1x1
ffn_inp-3,kernel_add,0.074800,4.100100,0.013000,128x1x1,64x1x1,2048x2x1x1
ffn_norm-3,kernel_rms_norm_mul,0.047800,4.113600,0.005500,2048x1x1,1024x1x1,2048x2x1x1
ffn_moe_logits-3,kernel_mul_mm_f32_f32_l4_lm,0.168400,3.981400,0.451000,128x1x1,128x1x1,64x2x1x1
ffn_moe_probs-3,kernel_soft_max_4,0.100400,4.432900,0.004000,128x1x1,64x1x1,64x2x1x1
ffn_moe_argsort-3,kernel_argsort_f32_i32,0.080400,4.437400,0.012000,64x2x1,64x1x1,64x2x1x1
ffn_moe_weights-3,kernel_get_rows_f32,0.060400,4.449900,0.003100,6x2x1,1x1x1,1x6x2x1
ffn_moe_topk-3,kernel_moe_histogram,0.036400,4.453500,0.002700,64x6x1,64x1x1,6x2x1x1
ffn_moe_topk-3,kernel_moe_scan,0.148200,0.237000,0.015300,1x0x0,1x0x0,6x2x1x1
ffn_moe_topk-3,kernel_moe_fill,0.095200,0.252900,0.001900,64x32x1,64x1x1,6x2x1x1
ffn_moe_topk-3,kernel_moe_scatter,0.065200,0.255400,0.002400,64x6x1,64x1x1,6x2x1x1
ffn_moe_gate-3,kernel_moe_reorder_b,0.255200,0.225700,0.068900,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_gate-3,kernel_gemm_moe_q4_0_f32_ns,0.213200,0.295200,0.781700,64x22x64,64x1x1,1408x6x2x1
ffn_moe_up-3,kernel_moe_reorder_b,0.182200,1.077400,0.066200,512x2048x1,256x1x1,1408x6x2x1
ffn_moe_up-3,kernel_gemm_moe_q4_0_f32_ns,0.158200,1.144100,0.783900,64x22x64,64x1x1,1408x6x2x1
ffn_moe_swiglu-3,kernel_swiglu,0.135200,1.928500,0.004000,6144x1x1,512x1x1,1408x6x2x1
ffn_moe_down-3,kernel_moe_reorder_b,0.091200,1.933000,0.045200,512x2048x1,256x1x1,2048x6x2x1
ffn_moe_down-3,kernel_gemm_moe_q4_0_f32_ns,0.069200,1.978800,0.699100,64x32x64,64x1x1,2048x6x2x1
ffn_moe_out-3,kernel_moe_combine_f32,0.240200,2.478000,0.004600,512x2x0,64x1x0,2048x2x1x1
ffn_gate-3,kernel_transpose_32_16,0.172200,2.483100,0.005100,512x2x0,1x16x0,2816x2x1x1
ffn_gate-3,kernel_gemm_noshuffle_q4_0_f32,0.158200,2.488700,0.317900,1x704x1,1x128x1,2816x2x1x1
ffn_up-3,kernel_transpose_32_16,0.132200,2.807100,0.004900,512x2x0,1x16x0,2816x2x1x1
ffn_up-3,kernel_gemm_noshuffle_q4_0_f32,0.119200,2.812500,0.317700,1x704x1,1x128x1,2816x2x1x1
ffn_swiglu-3,kernel_swiglu,0.097200,3.130700,0.004100,1024x1x1,512x1x1,2816x2x1x1
ffn_shexp-3,kernel_transpose_32_16,0.072200,3.135400,0.006000,704x2x0,1x16x0,2048x2x1x1
ffn_shexp-3,kernel_gemm_noshuffle_q4_0_f32,0.060200,3.141900,0.445900,1x512x1,1x128x1,2048x2x1x1
ffn_out-3,kernel_add,0.260800,3.353100,0.011400,128x1x1,64x1x1,2048x2x1x1
l_out-3,kernel_add,0.192800,3.365000,0.013500,128x1x1,64x1x1,2048x2x1x1
attn_norm-4,kernel_rms_norm_mul,0.158800,3.379100,0.005500,2048x1x1,1024x1x1,2048x2x1x1
q-4,kernel_transpose_32_16,0.133800,3.385200,0.004800,512x2x0,1x16x0,3072x2x1x1
